EmployeeNumber,Attrition,Age,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
1471,Yes,41.0,Travel_Rarely,1102,Sales,1,2,Life Sciences,2,Female,94,3,2,Sales Executive,4,Single,5993.0,19479,8,Y,Yes,11,3,1,80,0,8.0,0,1,6,4,0,5
1472,No,,Travel_Frequently,279,Research & Development,8,1,Life Sciences,3,Male,61,2,2,Research Scientist,2,Married,,24907,1,Y,No,23,4,4,80,1,10.0,3,3,10,7,1,7
1473,Yes,37.0,Travel_Rarely,1373,Research & Development,2,2,,4,Male,92,2,1,Laboratory Technician,3,Single,2090.0,2396,6,Y,Yes,15,3,2,80,0,7.0,3,3,0,0,0,0
1474,No,33.0,Travel_Frequently,1392,Research & Development,3,4,Life Sciences,4,Female,56,3,1,Research Scientist,3,Married,2909.0,23159,1,Y,Yes,11,3,3,80,0,,3,3,8,7,3,0
1475,No,27.0,Travel_Rarely,591,Research & Development,2,1,Medical,1,Male,40,3,1,Laboratory Technician,2,Married,3468.0,16632,9,Y,No,12,3,4,80,1,6.0,3,3,2,2,2,2
1476,No,32.0,Travel_Frequently,1005,Research & Development,2,2,,4,Male,79,3,1,Laboratory Technician,4,Single,3068.0,11864,0,Y,No,13,3,3,80,0,8.0,2,2,7,7,3,6
1477,No,59.0,Travel_Rarely,1324,Research & Development,3,3,Medical,3,Female,81,4,1,Laboratory Technician,1,Married,2670.0,9964,4,Y,Yes,20,4,1,80,3,12.0,3,2,1,0,0,0
1478,No,,Travel_Rarely,1358,Research & Development,24,1,Life Sciences,4,Male,67,3,1,Laboratory Technician,3,Divorced,2693.0,13335,1,Y,No,22,4,2,80,1,1.0,2,3,1,0,0,0
1479,No,38.0,Travel_Frequently,216,Research & Development,23,3,Life Sciences,4,Male,44,2,3,Manufacturing Director,3,Single,9526.0,8787,0,Y,No,21,4,2,80,0,,2,3,9,7,1,8
1480,No,36.0,Travel_Rarely,1299,Research & Development,27,3,Medical,3,Male,94,3,2,Healthcare Representative,3,Married,5237.0,16577,6,Y,No,13,3,2,80,2,17.0,3,2,7,7,7,7
1481,No,35.0,Travel_Rarely,809,Research & Development,16,3,Medical,1,Male,84,4,1,Laboratory Technician,2,Married,2426.0,16479,0,Y,No,13,3,3,80,1,6.0,5,3,5,4,0,3
1482,No,29.0,Travel_Rarely,153,Research & Development,15,2,Life Sciences,4,Female,49,2,2,Laboratory Technician,3,Single,,12682,0,Y,Yes,12,3,4,80,0,10.0,3,3,9,5,0,8
1483,No,31.0,Travel_Rarely,670,Research & Development,26,1,Life Sciences,1,Male,31,3,1,Research Scientist,3,Divorced,,15170,1,Y,No,17,3,4,80,1,5.0,1,2,5,2,4,3
1484,No,34.0,Travel_Rarely,1346,Research & Development,19,2,,2,Male,93,3,1,Laboratory Technician,4,Divorced,2661.0,8758,0,Y,No,11,3,3,80,1,3.0,2,3,2,2,1,2
1485,Yes,28.0,Travel_Rarely,103,Research & Development,24,3,Life Sciences,3,Male,50,2,1,Laboratory Technician,3,Single,2028.0,12947,5,Y,Yes,14,3,2,80,0,6.0,4,3,4,2,0,3
1486,No,,Travel_Rarely,1389,Research & Development,21,4,Life Sciences,2,Female,51,4,3,Manufacturing Director,1,Divorced,9980.0,10195,1,Y,No,11,3,3,80,1,10.0,1,3,10,9,8,8
1487,No,32.0,Travel_Rarely,334,Research & Development,5,2,,1,Male,80,4,1,Research Scientist,2,Divorced,3298.0,15053,0,Y,Yes,12,3,4,80,2,7.0,5,2,6,2,0,5
1488,No,22.0,Non-Travel,1123,Research & Development,16,2,Medical,4,Male,96,4,1,Laboratory Technician,4,Divorced,2935.0,7324,1,Y,Yes,13,3,2,80,2,1.0,2,2,1,0,0,0
1489,No,53.0,Travel_Rarely,1219,Sales,2,4,Life Sciences,1,Female,78,2,4,Manager,4,Married,15427.0,22021,2,Y,No,16,3,3,80,0,31.0,3,3,25,8,3,7
1490,No,38.0,Travel_Rarely,371,Research & Development,2,3,Life Sciences,4,Male,45,3,1,Research Scientist,4,Single,,4306,5,Y,Yes,11,3,3,80,0,,3,3,3,2,1,2
1491,No,24.0,Non-Travel,673,Research & Development,11,2,Other,1,Female,96,4,2,Manufacturing Director,3,Divorced,4011.0,8232,0,Y,No,18,3,4,80,1,5.0,5,2,4,2,1,3
1492,Yes,36.0,Travel_Rarely,1218,Sales,9,4,Life Sciences,3,Male,82,2,1,Sales Representative,1,Single,,6986,7,Y,No,23,4,2,80,0,,4,3,5,3,0,3
1493,No,34.0,Travel_Rarely,419,Research & Development,7,4,Life Sciences,1,Female,53,3,3,Research Director,2,Single,,21293,0,Y,No,11,3,3,80,0,13.0,4,3,12,6,2,11
1494,No,21.0,Travel_Rarely,391,Research & Development,15,2,Life Sciences,3,Male,96,3,1,Research Scientist,4,Single,1232.0,19281,1,Y,No,14,3,4,80,0,0.0,6,3,0,0,0,0
1495,Yes,34.0,Travel_Rarely,699,Research & Development,6,1,Medical,2,Male,83,3,1,Research Scientist,1,Single,2960.0,17102,2,Y,No,11,3,3,80,0,8.0,2,3,4,2,1,3
1496,No,53.0,Travel_Rarely,1282,Research & Development,5,3,Other,3,Female,58,3,5,Manager,3,Divorced,19094.0,10735,4,Y,No,11,3,4,80,1,26.0,3,2,14,13,4,8
1497,Yes,32.0,Travel_Frequently,1125,Research & Development,16,1,Life Sciences,2,Female,72,1,1,Research Scientist,1,Single,3919.0,4681,1,Y,Yes,22,4,2,80,0,10.0,5,3,10,2,6,7
1498,No,42.0,Travel_Rarely,691,Sales,8,4,Marketing,3,Male,48,3,2,Sales Executive,2,Married,6825.0,21173,0,Y,No,11,3,4,80,1,10.0,2,3,9,7,4,2
1499,No,44.0,Travel_Rarely,477,Research & Development,7,4,Medical,1,Female,42,2,3,Healthcare Representative,4,Married,10248.0,2094,3,Y,No,14,3,4,80,1,24.0,4,3,22,6,5,17
1500,No,46.0,Travel_Rarely,705,Sales,2,4,Marketing,2,Female,83,3,5,Manager,1,Single,18947.0,22822,3,Y,No,12,3,4,80,0,22.0,2,2,2,2,2,1
1501,No,33.0,Travel_Rarely,924,Research & Development,2,3,,3,Male,78,3,1,Laboratory Technician,4,Single,2496.0,6670,4,Y,No,11,3,4,80,0,7.0,3,3,1,1,0,0
1502,No,44.0,Travel_Rarely,1459,Research & Development,10,4,Other,4,Male,41,3,2,Healthcare Representative,4,Married,6465.0,19121,2,Y,Yes,13,3,4,80,0,9.0,5,4,4,2,1,3
1503,No,,Travel_Rarely,125,Research & Development,9,2,Medical,4,Male,83,2,1,Laboratory Technician,3,Single,2206.0,16117,1,Y,No,13,3,1,80,0,10.0,5,3,10,0,1,8
1504,Yes,39.0,Travel_Rarely,895,Sales,5,3,Technical Degree,4,Male,56,3,2,Sales Representative,4,Married,2086.0,3335,3,Y,No,14,3,3,80,1,19.0,6,4,1,0,0,0
1505,Yes,24.0,Travel_Rarely,813,Research & Development,1,3,Medical,2,Male,61,3,1,Research Scientist,4,Married,2293.0,3020,2,Y,Yes,16,3,1,80,1,6.0,2,2,2,0,2,0
1506,No,43.0,Travel_Rarely,1273,Research & Development,2,2,Medical,4,Female,72,4,1,Research Scientist,3,Divorced,2645.0,21923,1,Y,No,12,3,4,80,2,6.0,3,2,5,3,1,4
1507,Yes,50.0,Travel_Rarely,869,Sales,3,2,Marketing,1,Male,86,2,1,Sales Representative,3,Married,2683.0,3810,1,Y,Yes,14,3,3,80,0,3.0,2,3,3,2,0,2
1508,No,35.0,Travel_Rarely,890,Sales,2,3,Marketing,4,Female,97,3,1,Sales Representative,4,Married,2014.0,9687,1,Y,No,13,3,1,80,0,2.0,3,3,2,2,2,2
1509,No,36.0,Travel_Rarely,852,Research & Development,5,4,,2,Female,82,2,1,Research Scientist,1,Married,3419.0,13072,9,Y,Yes,14,3,4,80,1,6.0,3,4,1,1,0,0
1510,No,33.0,Travel_Frequently,1141,Sales,1,3,Life Sciences,3,Female,42,4,2,Sales Executive,1,Married,5376.0,3193,2,Y,No,19,3,1,80,2,10.0,3,3,5,3,1,3
1511,No,35.0,Travel_Rarely,464,Research & Development,4,2,Other,3,Male,75,3,1,Laboratory Technician,4,Divorced,1951.0,10910,1,Y,No,12,3,3,80,1,1.0,3,3,1,0,0,0
1512,No,27.0,Travel_Rarely,1240,Research & Development,2,4,Life Sciences,4,Female,33,3,1,Laboratory Technician,1,Divorced,,19715,1,Y,No,13,3,4,80,1,1.0,6,3,1,0,0,0
1513,Yes,,Travel_Rarely,1357,Research & Development,25,3,Life Sciences,1,Male,48,1,1,Laboratory Technician,3,Single,2293.0,10558,1,Y,No,12,3,3,80,0,1.0,2,2,1,0,0,1
1514,No,27.0,Travel_Frequently,994,Sales,8,3,Life Sciences,4,Male,37,3,3,Sales Executive,3,Single,8726.0,2975,1,Y,No,15,3,4,80,0,9.0,0,3,9,8,1,7
1515,No,30.0,Travel_Frequently,721,Research & Development,1,2,Medical,3,Female,58,3,2,Laboratory Technician,4,Single,4011.0,10781,1,Y,No,23,4,4,80,0,12.0,2,3,12,8,3,7
1516,Yes,41.0,Travel_Rarely,1360,Research & Development,12,3,Technical Degree,2,Female,49,3,5,Research Director,3,Married,,16280,1,Y,No,12,3,4,80,0,23.0,0,3,22,15,15,8
1517,No,34.0,Non-Travel,1065,Sales,23,4,Marketing,2,Male,72,3,2,Sales Executive,3,Single,4568.0,10034,0,Y,No,20,4,3,80,0,,2,3,9,5,8,7
1518,No,37.0,Travel_Rarely,408,Research & Development,19,2,Life Sciences,2,Male,73,3,1,Research Scientist,2,Married,3022.0,10227,4,Y,No,21,4,1,80,0,,1,3,1,0,0,0
1519,No,46.0,Travel_Frequently,1211,Sales,5,4,Marketing,1,Male,98,3,2,Sales Executive,4,Single,5772.0,20445,4,Y,Yes,21,4,3,80,0,14.0,4,3,9,6,0,8
1520,No,35.0,Travel_Rarely,1229,Research & Development,8,1,Life Sciences,4,Male,36,4,1,Laboratory Technician,4,Married,2269.0,4892,1,Y,No,19,3,4,80,0,1.0,2,3,1,0,0,1
1521,Yes,48.0,Travel_Rarely,626,Research & Development,1,2,Life Sciences,1,Male,98,2,3,Laboratory Technician,3,Single,5381.0,19294,9,Y,Yes,13,3,4,80,0,23.0,2,3,1,0,0,0
1522,Yes,28.0,Travel_Rarely,1434,Research & Development,5,4,Technical Degree,3,Male,50,3,1,Laboratory Technician,3,Single,,11179,1,Y,Yes,13,3,3,80,0,2.0,3,2,2,2,2,2
1523,No,44.0,Travel_Rarely,1488,Sales,1,5,Marketing,2,Female,75,3,2,Sales Executive,1,Divorced,5454.0,4009,5,Y,Yes,21,4,3,80,1,,2,2,4,3,1,3
1524,No,35.0,Non-Travel,1097,Research & Development,11,2,Medical,3,Male,79,2,3,Healthcare Representative,1,Married,9884.0,8302,2,Y,Yes,13,3,3,80,1,10.0,3,3,4,0,2,3
1525,No,,Travel_Rarely,1443,Sales,23,3,Marketing,3,Female,47,2,2,Sales Executive,4,Married,,21436,7,Y,Yes,19,3,3,80,1,5.0,2,2,2,2,0,0
1526,No,33.0,Travel_Frequently,515,Research & Development,1,2,Life Sciences,1,Female,98,3,3,Research Director,4,Single,,15146,1,Y,Yes,12,3,3,80,0,15.0,1,3,15,14,8,12
1527,No,35.0,Travel_Frequently,853,Sales,18,5,Life Sciences,2,Male,71,3,3,Sales Executive,1,Married,,11031,1,Y,No,22,4,4,80,1,9.0,3,2,9,8,1,8
1528,No,35.0,Travel_Rarely,1142,Research & Development,23,4,,3,Female,30,3,1,Laboratory Technician,1,Married,4014.0,16002,3,Y,Yes,15,3,3,80,1,4.0,3,3,2,2,2,2
1529,No,31.0,Travel_Rarely,655,Research & Development,7,4,Life Sciences,4,Male,48,3,2,Laboratory Technician,4,Divorced,5915.0,9528,3,Y,No,22,4,4,80,1,10.0,3,2,7,7,1,7
1530,No,37.0,Travel_Rarely,1115,Research & Development,1,4,Life Sciences,1,Male,51,2,2,Manufacturing Director,3,Divorced,5993.0,2689,1,Y,No,18,3,3,80,1,7.0,2,4,7,5,0,7
1531,No,32.0,Travel_Rarely,427,Research & Development,1,3,Medical,1,Male,33,3,2,Manufacturing Director,4,Married,,10877,1,Y,Yes,22,4,2,80,1,,3,3,9,8,7,8
1532,No,,Travel_Frequently,653,Research & Development,29,5,,4,Female,50,3,2,Laboratory Technician,4,Single,2406.0,5456,1,Y,No,11,3,4,80,0,10.0,2,3,10,3,9,9
1533,No,50.0,Travel_Rarely,989,Research & Development,7,2,Medical,2,Female,43,2,5,Research Director,3,Divorced,18740.0,16701,5,Y,Yes,12,3,4,80,1,29.0,2,2,27,3,13,8
